ARYSTR, x
ARYVAR, x
BCI1, x
BCI2, x
BSYI1, x
CKEOL, x
CLRPOS, x
CNTWFL, x
DSPP1, x
DVAR, x
DVAR2, x
DVAR3, x
DVARS, x
ERRGO1, x
FCERR1, x
FNDVAR, x
FRETRT, x
GRBPAS, x
GRBRTS, x
INCRTS, x
INIT20, x
INLINN, x
KBASIN, x
KBSOUT, x
KUDTIM, x
L00, x
L02, x
L026A, x
LC9D8, (local symbol)
LCA5A, (local symbol)
LCA64, (local symbol)
LCE3B, (local symbol)
LCE69, (local symbol)
LD657, (local symbol)
LE082, Encoded WAIT6502 Easter Egg string ("!TFOSORCIM")
LE1AA, (local symbol)
LE1C9, (local symbol)
LE1CE, (local symbol)
LE1D8, (local symbol)
LE1F0, (local symbol)
LE241, (local symbol)
LE273, (local symbol)
LE275, (local symbol)
LE6AC, (local symbol)
LE6AD, (local symbol)
LE73F, (local symbol)
LE7F3, (local symbol)
LF253, (local symbol)
LF2EA, (local symbol)
LF304, (local symbol)
LF3CC, (local symbol)
LF53B, (local symbol)
LF5E3, (local symbol)
LF5E7, (local symbol)
LF71C, (local symbol)
LF720, (local symbol)
LF724, (local symbol)
LF735, (local symbol)
LF9CA, (local symbol)
LFD48, (local symbol)
LFD4E, (local symbol)
LFD54, (local symbol)
LFD65, (local symbol)
LFD6D, (local symbol)
LFD9B, (local symbol)
LFDB3, (local symbol)
LFE0D, (local symbol)
LFE18, (local symbol)
LFE2A, (local symbol)
LFE2D, (local symbol)
LFE44, (local symbol)
LFE51, (local symbol)
LFEAE, (local symbol)
LFEB3, (local symbol)
LFEB8, (local symbol)
LFEC3, (local symbol)
LFEC5, (local symbol)
LFECA, (local symbol)
LFECF, (local symbol)
LFED9, (local symbol)
LFEE1, (local symbol)
LFEE6, (local symbol)
LFEEB, (local symbol)
LFEF0, (local symbol)
LFEFF, (local symbol)
LFF1B, (local symbol)
LFF24, (local symbol)
LFF45, (local symbol)
LFF9E, (local symbol)
LINLIN, x
LINWID, x
MRCHKR, Microsoft WAIT6502 Easter Egg outer loop
MRCHR, Microsoft WAIT6502 Easter Egg inner loop
NCMWFL, x
NULCNT, x
NULL, x
OUTDO1, x
PATCH1, x
PATCH2, x
PATCH3, x
PATCH4, x
PATCH6, x
PATCH7, x
PKINC, +
PRTNUL, x
RESPUL, x
SNERRX, x
STORD1, Microsoft WAIT6502 Easter Egg routine
SVAR, x
SVARGO, x
SVARS, x
TRYOUT, x
TVAR, x
UNLSN1, x
ERRNF, (error msg offset constant)
USRPOK, $4C constant = JMP
ADDPRC, USR vector - Lo/Hi (MS additional precision const)
BLF, BASIC Load File block type (constant)
ADDPR2, (constant)
BDF, BASIC Data File block type (constant)
BUFPAG, x
CHARAC, Starting delimiter / Search character
INTEGR, 1 byte integer from "qint"
STRSIZ, # locations per descriptor
ADDPR4, (constant)
BDFH, BASIC Data File Header block type (constant)
ENDCHR, Ending delimiter
SBERR, (constant)
EOT, End Of Tape block type (constant)
COUNT, General counter (Input buffer pointer; # of subscripts)
DIMFLG, Flag to remember dimensioned variables
VALTYP, Flag for variable type: 00=numeric; ff=string
ADDPR8, (constant)
INTFLG, Flag for # type: 80=integer; 00=floating point
LBERR, (constant)
NCMDS, (constant)
DORES, Flag whether can crunch reserved words
GARBFL, Garbage collection flag ($80=already happened)
CLMWID, Size of print window (constant)
SUBFLG, Flag which allows subscripts in syntax (FNX flag)
INPFLG, Flags input or read (00=INPUT; 40=GET; 98=READ)
DOMASK, Mask used by relation operations (Comparison Evaluation Flag)
TANSGN, Flag sign of tangent
CR,     Carriage Return value (constant)
DSDESC, ds$ length
CHANL,  Active I/O Channel #
CHANNL, Active I/O Channel #
ERRSN, (error msg offset constant)
SPERR, (constant)
LINNUM, Line # storage Lo/Hi
POKER,  Holds address for POKE command (Integer value for SYS & GOTO)
FORSIZ, # of bytes used on stack for-next
TEMPPT, index to next available descriptor
LASTPT, Pointer to last $ temp (Pointers for descriptor search)
ERRRG, (error msg offset constant)
TEMPST, Storage for numtp temp descriptors
NUMLEV, # of GOSUB levels allowed (const)
NCMPOS, (constant)
INDEX,  Indirect index #1 - Lo/Hi
INDEX1, Indirect index #1 - Lo/Hi
CKERR, (constant)
INDEX2, Indirect index #2 - Lo/Hi
RESHO,  Res - register (Product area for multiplication - 5 bytes)
RESMOH, x
ADDEND, Temp used by "umult"
RESMO, x
RESLO, x
LINLEN, Line length (constant)
TXTTAB, Pointer to start of BASIC text - Lo/Hi
ERROD, (error msg offset constant)
VARTAB, Pointer to start of variables - Lo/Hi
ARYTAB, Pointer to start of array table - Lo/Hi
STREND, Pointer to end of variables - Lo/Hi
FRETOP, Pointer to start of actual strings - Lo/Hi
FRESPC, Pointer to top of free string space - Lo/Hi
MEMSIZ, Highest RAM address available for BASIC - Lo/Hi
ERRFC, (error msg offset constant)
CURLIN, Current line # being executed - Lo/Hi
OLDLIN, Last line # executed (for CONT command) - Lo/Hi
OLDTXT, Old txtptr (for CONT) & temp storage - Lo/Hi
DATLIN, Current data line # (in case of errors) - Lo/Hi
DATPTR, Data statement pointer - Lo/Hi
INPPTR, Source pf input address - Lo/Hi
APEN, (constant)
VARNAM, Current variable name - 2 byte
FDECPT, Pointer into powers of 10 for "fout"
VARPNT, Pointer into variable in memory - Lo/Hi
ERROV, (error msg offset constant)
ANDMSK, AND mask for WAIT instruction
FORPNT, Pointer into current FOR-NEXT variable reference - Lo/Hi
LSTPNT, Pointer to list $ - Lo/Hi
EORMSK, EOR mask for WAIT instruction
OPPTR, Pointer to current operator in table - Lo/Hi
VARTXT, Pointer into list of variables - Lo/Hi
OPMASK, Mask created by current operator (Comparison symbol accumulator)
DEFPNT, Pointer used in function definition
GRBPNT, Pointer used in garbage collection
TEMPF3, A third FAC temporary - 4 bytes (misc work area - 6 bytes)
DSCPNT, Pointer to a string description
ERROM, (error msg offset constant)
FOUR6, Variable constant used by garbage collection
BUFLEN, (input buffer length constant)
JMPER, 4c = JMP: subroutine for dispatch of functions
SIZE, address for dispatch of functions - Lo/Hi
OLDOV, The old overflow
TEMPF1, A FAC temp - 4 bytes (misc numeric work area - 10 bytes)
ARYPNT, A pointer used in array building
HIGHDS, Destination of highest element in blt.
HIGHTR, Souce of highest element to move
TEMPF2, A FAC temp - 4 bytes
DECCNT, # of places before decimal point
ERRUS, (error msg offset constant)
LOWDS, Location of last byte transferred into
TENEXP, Base 10 exponent for "fin" & "fout"
DPTFLG, Flag if a decimal point has been input
GRBTOP, Pointer used in garbage collection
LOWTR, Last thing to move in blt.
EPSGN, Sign of base 10 exponent
EXPSGN, Sign of base 10 exponent
DSCTMP, This is where temp descs are built
FAC, Main floating-point accumulator (Mantissa - 5 bytes)
FACEXP, The exponent byte
FACHO, Most significant byte of mantissa
FACMOH, One more
FACMO, Middle order of mantissa
INDICE, Indice is set up here buy "qint"
FACLO, Least significant byte of mantissa
FACSGN, Sign of FAC. = 0 or -1 when unpacked
DEGREE, A constant used by polynomials (Series evaluation constant pointer)
SGNFLG, Sign of FAC is preserved here by "fin"
BITS, Counter for # of bit shifts to normalize FAC (FAC overflow)
ARGEXP, Argument register exponent (Accum. #2 - 6 bytes)
ARGHO, x
ARGMOH, x
ARGMO, x
ARGLO, x
ARGSGN, The sign - same as FAC
ERRBS, (error msg offset constant)
ARISGN, A sign reflecting the result (Sign comparison - Acc. #1 vs #2)
STRNG1, Pointer to a $ or descriptor
FACOV, Overflow byte of the FAC (Accum. #1 lo-order - rounding)
BUFPTR, Pointer to buffer used by "crunch" - Lo/Hi
CURTOL, Absolute linear index is formed here (Cassette buff len/Series pointer)
FBUFPT, Pointer to "fbuffer" used in "fout"
POLYPT, Pointer to polnomial coefficients
STRNG2, Pointer to $ or desc.
CHRGET, Subroutine - gets next character from BASIC text (23 bytes)
CHRGOT, Subroutine - regets current character from B. text
TXTPTR, Pointer to current BASIC source text - Lo/Hi
ERRDD, (error msg offset constant)
QNUM, Check and evaluate numeric char (inside CHRGET)
ENDTK, (BASIC token constant)
FORTK, (BASIC token constant)
DATATK, (BASIC token constant)
ERRDVO, (error msg offset constant)
CHRRTS, End of chrget
RNDX, Next Random number - 6 bytes
GOTOTK, (BASIC token constant)
CTIMR, Jiffy (1/60th sec.) clock for TI and TI$ - 3 bytes
GOSUTK, (BASIC token constant)
TIME, x
REMTK, (BASIC token constant)
CINV, IRQ interrupt vector - Lo/Hi
ONTK, (BASIC token constant)
CBINV, BRK interrupt vector - Lo/Hi
NMINV, NMI interrupt vector - Lo/Hi
ERRID, (error msg offset constant)
CSTAT, Variable ST - I/O Status byte
